driverId,week,hours-logged,miles-logged
57,29,76,1100
15,52,71,1700
72,16,68,3300
47,3,75,2300
30,9,71,2700
107,33,54,3100
14,26,57,900
88,35,69,2500
77,32,71,2800
58,15,69,1300
69,30,70,3300
14,10,71,1400
17,20,78,2500
78,46,78,700
46,31,72,1200
28,33,71,3100
38,3,58,3600
70,36,68,1700
24,44,79,400
62,41,67,500
82,32,74,3200
30,11,55,3900
51,15,61,1200
84,21,59,3300
35,5,54,3900
13,25,78,2900
94,25,69,1800
51,25,79,2700
23,44,68,600
38,40,67,1600
80,39,54,900
73,41,51,3200
64,40,77,2500
41,22,55,2100
63,11,71,1200
20,8,57,4000
39,15,69,2700
85,8,51,2300
19,14,75,3100
109,12,55,3600
45,9,67,700
26,12,56,700
94,36,58,2500
35,44,80,2100
39,27,50,3800
93,41,62,1400
84,19,73,1600
52,31,77,2400
59,18,53,700
33,19,61,3700
75,25,75,3900
96,52,64,2800
32,11,77,2500
41,46,70,2500
34,36,69,2300
90,18,58,900
82,23,50,3700
77,35,77,3500
82,9,66,1800
11,24,55,700
99,31,62,600
52,45,69,3000
62,18,73,1800
76,1,69,0
91,6,71,700
69,24,64,1100
76,36,59,3700
21,15,55,700
75,28,80,1700
14,40,51,400
74,11,80,1000
32,5,75,2300
91,46,62,1600
65,38,69,2200
15,44,67,600
62,46,68,3400
102,14,55,1300
100,52,55,1600
65,15,50,200
44,9,63,1100
72,44,59,400
78,7,55,1500
72,48,56,0
42,34,52,2200
14,35,54,700
92,9,65,2600
79,52,68,3400
99,33,62,2400
11,49,78,1000
109,28,58,500
39,30,67,100
75,33,64,3600
22,18,63,3700
27,24,72,3700
32,36,68,3800
97,6,62,1900
75,46,73,2700
95,36,76,900
102,30,55,2900
99,38,50,300
43,48,71,3400
37,49,67,1300
101,13,65,200
52,16,51,2400
64,11,59,2200
32,30,76,0
97,24,63,1100
78,25,76,300
33,19,65,2700
11,40,79,100
13,5,59,200
95,48,80,3200
88,42,65,2200
36,31,77,2000
107,30,50,100
52,47,67,2700
19,6,72,3300
34,7,56,2000
60,39,68,2700
84,50,68,1100
69,45,77,2300
91,38,65,3900
52,28,59,1500
14,35,79,3300
37,33,54,100
47,33,54,1300
69,52,74,2200
105,12,51,3700
12,50,53,800
43,51,61,700
40,39,50,2400
24,45,79,1700
69,15,61,1600
88,8,77,2700
99,8,57,1700
71,24,70,3200
52,31,78,700
57,51,66,2900
38,48,66,2100
91,34,77,4000
71,41,80,900
92,32,59,400
57,45,76,1000
12,12,58,900
20,40,63,3300
16,14,78,4000
11,27,59,3700
15,51,61,300
55,30,71,4000
74,26,58,1100
88,32,70,3300
74,18,80,3300
28,39,50,2300
75,30,77,1800
63,18,79,1700
61,17,75,400
21,1,80,100
77,22,76,2100
37,34,56,100
71,35,59,1800
58,34,79,300
85,45,79,800
15,23,68,800
30,5,69,400
60,36,59,2900
29,43,60,2900
108,32,57,3100
65,24,79,4000
80,17,57,2100
33,20,72,3300
14,12,61,1300
53,2,73,3400
74,2,76,2600
26,37,64,2000
50,2,73,1100
45,28,68,2600
90,50,56,1400
35,17,78,3900
76,19,71,3400
13,52,56,1500
91,52,64,2000
12,28,70,0
12,46,65,2000
54,43,68,2700
46,40,79,3400
89,41,77,1700
88,23,63,2700
23,24,56,2900
101,4,76,2800
94,52,72,2800
78,23,69,3300
12,37,59,2900
34,19,80,1300
75,7,62,3500
69,34,64,3900
100,48,55,2200
43,4,76,1400
106,37,63,700
81,12,59,1300
81,29,78,100
48,13,60,2300
14,32,71,700
17,16,57,2500
11,44,80,2100
97,26,50,2900
101,18,53,2000
40,50,62,2800
73,42,62,3600
45,1,74,1200
100,49,51,400
24,17,77,1100
10,35,64,1500
60,11,67,700
96,50,59,0
22,32,75,0
29,46,72,1200
80,10,75,2900
59,52,55,2000
99,29,55,700
88,34,78,3000
100,24,61,1200
10,20,69,3300
61,23,53,1000
103,2,71,1400
41,34,64,1000
37,33,76,2100
63,39,51,700
37,27,76,1400
18,5,60,3100
50,27,70,700
66,50,52,800
95,44,69,3300
78,17,55,800
33,5,50,300
19,33,51,1700
25,11,75,3900
11,46,63,2800
17,7,67,1700
17,15,74,400
43,9,65,1400
104,23,77,1600
26,24,76,3800
108,40,58,4000
81,35,78,1900
27,44,64,3400
13,15,76,3800
37,6,57,700
81,27,52,2200
82,44,71,900
44,21,79,3900
25,9,51,4000
60,8,66,1500
48,37,53,2700
65,1,65,2700
37,3,59,3900
36,19,54,2000
53,49,64,3700
37,23,57,2000
57,28,50,2800
49,18,73,2300
46,34,70,3100
51,15,59,1700
10,17,57,1300
54,5,59,900
29,46,64,1200
17,1,60,1200
107,22,56,500
78,31,77,700
27,51,79,1100
35,15,76,3300
37,16,71,0
72,3,51,700
85,48,50,600
64,49,50,2500
86,25,62,2100
80,30,80,900
62,13,67,2200
31,37,53,0
78,3,80,2800
24,26,77,700
34,2,59,3700
25,32,58,400
65,7,66,2200
37,27,50,1300
66,16,50,2000
65,24,59,1100
82,28,70,1100
11,37,62,1900
44,49,78,3200
95,23,73,1900
66,26,50,500
64,22,59,2700
107,17,67,1200
24,45,63,2200
81,5,61,0
52,41,78,600
93,30,69,2000
88,41,76,2800
64,51,58,2900
93,36,58,200
86,9,79,3300
16,17,58,4000
13,18,73,1400
11,10,54,2400
87,9,50,1000
78,40,67,3600
96,10,63,600
82,38,72,3100
101,33,62,3500
35,8,67,2500
19,25,69,3300
24,34,64,2300
78,50,53,1700
11,9,57,1900
37,36,53,400
37,15,59,3800
35,12,61,400
48,4,66,3400
24,37,51,500
89,11,59,1700
103,33,68,1200
66,42,68,1700
31,43,65,0
80,41,52,3700
84,44,77,1700
80,36,74,3100
90,21,76,2900
37,4,69,1100
103,42,73,3600
49,24,65,3300
92,23,78,3700
30,11,74,3100
96,30,51,0
74,36,75,500
69,13,57,1800
53,2,76,3000
101,7,65,200
63,52,79,3900
71,50,60,1000
53,37,65,3100
12,49,80,500
108,38,59,2800
65,22,64,2900
50,24,75,3300
79,12,61,2800
106,40,60,3800
28,30,78,1700
62,27,52,600
103,45,76,1100
95,45,62,400
45,27,63,600
104,2,56,2100
34,31,69,3500
24,44,66,1400
54,14,74,100
35,28,75,700
59,45,79,700
97,2,77,2900
83,43,61,1600
24,50,79,2300
100,51,55,3100
95,4,67,2100
109,52,71,1800
28,5,73,1500
60,47,69,300
101,6,54,600
49,16,66,3300
49,48,61,1500
49,23,52,2500
49,46,79,3300
73,20,71,2700
37,52,69,400
100,40,79,3000
30,10,72,2300
67,15,67,1400
38,52,52,1700
69,44,56,600
46,50,58,2800
46,36,71,1100
84,15,79,3800
95,4,53,400
108,52,62,2600
53,3,57,900
18,9,64,1800
46,34,78,900
25,46,79,1800
53,1,70,2300
47,25,72,1500
14,9,57,0
88,51,54,200
57,35,54,2000
42,51,62,3800
26,22,71,2100
94,16,74,1700
20,45,61,2300
15,52,59,2000
49,51,55,1700
11,2,57,3000
16,27,74,1000
10,35,61,900
105,24,78,1000
14,6,68,800
82,50,63,1300
89,45,58,600
19,21,70,3900
85,36,54,2900
23,44,72,0
76,34,65,2900
99,33,61,1400
47,42,60,3000
105,51,51,2900
90,26,59,2300
92,11,65,2900
50,27,50,1500
90,26,68,2300
51,30,66,300
91,32,57,3500
94,16,66,700
68,30,73,1300
83,27,53,2500
106,47,59,2000
76,21,53,600
59,28,62,1900
28,9,66,100
58,27,68,2000
55,14,50,800
83,47,76,3100
33,24,55,200
74,35,79,2300
73,3,52,600
76,20,66,500
49,25,53,200
22,33,77,3900
47,12,69,1200
17,18,76,3600
49,11,69,2600
56,24,80,1900
47,29,68,3700
69,31,59,2800
57,14,78,1400
108,33,51,2000
28,12,55,1700
18,40,67,2500
108,49,78,3900
56,29,64,3700
69,47,50,1800
108,36,78,3000
105,50,74,1600
84,20,69,1000
88,23,72,4000
105,40,66,3100
